job	platform	role	environment	driver	image	recipe
server-images	alma9	server	server	nvidia-580	alma9-server-nvidia-580	recipes/images/server/alma9/full-nvidia-580.yml
workstation-images	alma9	workstation	gnome	nvidia-580	alma9-gnome-nvidia-580	recipes/images/workstation/gnome/alma9/core-nvidia-580.yml
workstation-images	alma9	workstation	cosmic	nvidia-580	alma9-cosmic-nvidia-580	recipes/images/workstation/cosmic/alma9/core-nvidia-580.yml
server-images	alma10	server	server	standard	alma10-server	recipes/images/server/alma10/full.yml
server-images	alma10	server	server	nvidia-open	alma10-server-nvidia-open	recipes/images/server/alma10/full-nvidia-open.yml
workstation-images	alma10	workstation	gnome	standard	alma10-gnome	recipes/images/workstation/gnome/alma10/core.yml
workstation-images	alma10	workstation	gnome	nvidia-open	alma10-gnome-nvidia-open	recipes/images/workstation/gnome/alma10/core-nvidia-open.yml
workstation-images	alma10	workstation	cosmic	standard	alma10-cosmic	recipes/images/workstation/cosmic/alma10/core.yml
workstation-images	alma10	workstation	cosmic	nvidia-open	alma10-cosmic-nvidia-open	recipes/images/workstation/cosmic/alma10/core-nvidia-open.yml
server-images	fedora	server	server	standard	fedora-server	recipes/images/server/fedora/full.yml
workstation-images	fedora	workstation	gnome	standard	fedora-gnome	recipes/images/workstation/gnome/fedora/core.yml
workstation-images	fedora	workstation	gnome	nvidia-open	fedora-gnome-nvidia-open	recipes/images/workstation/gnome/fedora/core-nvidia-open.yml
workstation-images	fedora	workstation	cosmic	standard	fedora-cosmic	recipes/images/workstation/cosmic/fedora/core.yml
workstation-images	fedora	workstation	cosmic	nvidia-open	fedora-cosmic-nvidia-open	recipes/images/workstation/cosmic/fedora/core-nvidia-open.yml
